0: <pad>
1: <eos>
2: <user>
3: <bot>
4: 0
5: 1
6: 2
7: 3
8: 4
9: 5
10: +
11: -
12: =
13: кот
14: пес
15: животное
16: друг
17: это
18: да
19: нет
20: кто
21: 6
22: 7
23: 8
24: 9
25: *
26: волк
27: лиса
28: заяц
29: рыба
30: птица
31: зверь
32: хищник
33: человек
34: враг
35: где
36: что
37: река
38: небо
39: лес
40: дом
41: /
42: медведь
43: змея
44: щука
45: дуб
46: дерево
47: тайга
48: нора
49: поле
50: трава
51: вода
52: ест
53: не
54: как
55: почему
56: если
57: то
58: или
59: наука
60: число
61: модель
62: разум
63: знание
64: логика
