================================================================================
 SRXFORMER: SUPER-RESOLVENT XFORMER v05 (QUANTUM-ALGEBRAIC CORE) TELEMETRY
 Target Architecture: Intel Xeon E5-2650 v2 (Ivy Bridge-EP)                     
 Model Parameters:    896 (100% L1D Cache Resident, 32 KB per core)             
================================================================================

[1] ВЛОЖЕННЫЙ COMPUTE НА ОБУЧЕНИЕ (TRAINING COMPUTE):
    * Вложили compute:          2587447200 FLOPs (2587.45 MFLOPs / 2.5874 GFLOPs)
    * Время обучения:           2746.15 ms (2.746 s)
    * Формула FLOPs:            (6 * N_params + 864) * tokens_per_epoch * epochs
                                = (6 * 896 + 864) * 19821 * 62
    * Эффективная скорость:     942.21 MFLOP/s (0.9422 GFLOP/s)
    * Начальный Loss:           4.7617 (Перплексия: 116.94)
    * Финальный Loss:           1.0576 (Перплексия: 2.88)
    * Всего шагов (Steps):      58312 gradient updates

[2] COMPUTE, ЛАТЕНТНОСТЬ И ПАМЯТЬ СОСТОЯНИЯ НА ИНФЕРЕНСЕ (INFERENCE COMPUTE & MEMORY):
    * Ответ за compute:         2080 FLOPs на токен (~ 2 * N_params + 352)
    * Время генерации токена:   1925.7 ns (1.926 µs)
    * Пропускная способность:   519296 токенов/сек (0.52M токенов/сек)
    * Вычислительная скорость:  1.0801 GFLOP/s
    * Число бенчмарк шагов:     50000 tokens decoded
    --------------------------------------------------------------------------------
    * СРАВНЕНИЕ ОБЪЕМА ПАМЯТИ СОСТОЯНИЯ (STATE MEMORY FOOTPRINT):
      - SRX v05 State (Thetas + M): 160 bytes (СТРОГО КОНСТАНТНО O(1), 100% L1D resident)
      - Classic KV Cache (N=32 ): 2048 bytes (12.8x больше SRX)
      - Classic KV Cache (N=1K):  65536 bytes (409.6x больше SRX -> вытеснение L1D)
      - Classic KV Cache (N=100K):6400000 bytes (40000.0x больше SRX -> вытеснение в DRAM)
      - Преимущество SRX v05:   Чистый ортогональный проектор, неискаженный MUSIC, 160B состояние, 0 DRAM трафика

[3] КАЧЕСТВО МОДЕЛИ (QUALITY EVALUATION - EXACT MATCH):
    * Точность (Exact Match):   56.7% (34/60 тестов пройдено)
    --------------------------------------------------------------------------------
    | Статус | Домен / Категория               | Промпт                       | Вывод модели         |
    |--------|---------------------------------|------------------------------|----------------------|
    | PASS   | Addition Arithmetic (Basic)     | <user> 2 + 3 = <bot>         | 5 <eos>              |
    | PASS   | Addition Arithmetic (Basic)     | <user> 1 + 2 = <bot>         | 3 <eos>              |
    | PASS   | Addition Arithmetic (Basic)     | <user> 0 + 1 = <bot>         | 1 <eos>              |
    | PASS   | Addition Arithmetic (Basic)     | <user> 2 + 2 = <bot>         | 4 <eos>              |
    | PASS   | Addition Arithmetic (Basic)     | <user> 3 + 1 = <bot>         | 4 <eos>              |
    | PASS   | Addition Arithmetic (Extended)  | <user> 3 + 4 = <bot>         | 7 <eos>              |
    | PASS   | Addition Arithmetic (Extended)  | <user> 5 + 3 = <bot>         | 8 <eos>              |
    | PASS   | Addition Arithmetic (Extended)  | <user> 4 + 5 = <bot>         | 9 <eos>              |
    | FAIL   | Addition Arithmetic (Base Prompt) | 2 + 3 =                      | 5 = да <eos>         |
    | FAIL   | Addition Arithmetic (Base Prompt) | 3 + 4 =                      | 7 = да <eos>         |
    | PASS   | Subtraction (Pair A: 5 - 2)     | <user> 5 - 2 = <bot>         | 3 <eos>              |
    | PASS   | Subtraction (Pair A: 5 - 3)     | <user> 5 - 3 = <bot>         | 2 <eos>              |
    | PASS   | Subtraction (Pair B: 4 - 1)     | <user> 4 - 1 = <bot>         | 3 <eos>              |
    | PASS   | Subtraction (Pair B: 4 - 3)     | <user> 4 - 3 = <bot>         | 1 <eos>              |
    | FAIL   | Subtraction (Pair C: 9 - 4)     | <user> 9 - 4 = <bot>         | 4 <eos>              |
    | PASS   | Subtraction (Pair C: 9 - 5)     | <user> 9 - 5 = <bot>         | 4 <eos>              |
    | PASS   | Subtraction (Pair D: 3 - 1)     | <user> 3 - 1 = <bot>         | 2 <eos>              |
    | PASS   | Subtraction (Pair D: 3 - 2)     | <user> 3 - 2 = <bot>         | 1 <eos>              |
    | FAIL   | Subtraction (Base Prompt: 4 - 1) | 4 - 1 =                      | 4 <eos>              |
    | PASS   | Subtraction (Base Prompt: 5 - 2) | 5 - 2 =                      | 3 <eos>              |
    | PASS   | Multiplication Arithmetic (Basic) | <user> 2 * 3 = <bot>         | 6 <eos>              |
    | PASS   | Multiplication Arithmetic (Basic) | <user> 2 * 2 = <bot>         | 4 <eos>              |
    | FAIL   | Multiplication Arithmetic (Basic) | <user> 3 * 3 = <bot>         | 8 <eos>              |
    | PASS   | Multiplication Arithmetic (Extended) | <user> 4 * 2 = <bot>         | 8 <eos>              |
    | PASS   | Division Arithmetic (Exact)     | <user> 6 / 2 = <bot>         | 3 <eos>              |
    | PASS   | Division Arithmetic (Exact)     | <user> 8 / 4 = <bot>         | 2 <eos>              |
    | PASS   | Division Arithmetic (Exact)     | <user> 9 / 3 = <bot>         | 3 <eos>              |
    | PASS   | Division Arithmetic (Exact)     | <user> 4 / 2 = <bot>         | 2 <eos>              |
    | FAIL   | Multiplication Arithmetic (Base Prompt) | 2 * 3 =                      | 4 = нет <eos>        |
    | FAIL   | Division Arithmetic (Base Prompt) | 6 / 2 =                      | 3 = нет <eos>        |
    | FAIL   | Entity Taxonomy (кот)           | <user> кто кот <bot>         | лиса <eos>           |
    | FAIL   | Entity Taxonomy (пес)           | <user> кто пес <bot>         | лиса <eos>           |
    | FAIL   | Entity Taxonomy (волк)          | <user> кто волк <bot>        | рыба это зверь <eos> |
    | FAIL   | Entity Taxonomy (лиса)          | <user> кто лиса <bot>        | рыба это зверь <eos> |
    | FAIL   | Entity Taxonomy (медведь)       | <user> кто медведь <bot>     | рыба это зверь <eos> |
    | FAIL   | Entity Taxonomy (щука)          | <user> кто щука <bot>        | рыба это человек <eos> |
    | FAIL   | Entity Taxonomy (змея)          | <user> кто змея <bot>        | рыба это зверь <eos> |
    | FAIL   | Entity Taxonomy (дуб)           | <user> кто дуб <bot>         | лиса это хищник <eos> |
    | FAIL   | Entity Taxonomy (Base Prompt)   | кто кот =                    | да <eos>             |
    | FAIL   | Entity Taxonomy (Base Prompt)   | кто медведь =                | <bot> да <eos>       |
    | FAIL   | Spatial Reasoning (волк)        | <user> где волк <bot>        | нора <eos>           |
